identificador;clase;cu;canton
10598282;AUTOMOVIL;1.0;21701
10598285;AUTOMOVIL;1.0;21701
10598291;AUTOMOVIL;1.0;21701
10598292;AUTOMOVIL;1.0;21701
10598294;AUTOMOVIL;1.0;21701
10598295;AUTOMOVIL;1.0;21701
10598298;AUTOMOVIL;1.0;21701
10598538;AUTOMOVIL;1.0;21701
10598541;AUTOMOVIL;1.0;21701
10598543;AUTOMOVIL;1.0;21701
10598553;AUTOMOVIL;1.0;21701
10598555;AUTOMOVIL;1.0;21701
10598556;AUTOMOVIL;1.0;21701
10598561;AUTOMOVIL;1.0;21701
10598564;AUTOMOVIL;1.0;21701
10598565;AUTOMOVIL;1.0;21701
10598568;AUTOMOVIL;1.0;21701
10598571;AUTOMOVIL;1.0;21701
10598574;AUTOMOVIL;1.0;21701
10598576;AUTOMOVIL;1.0;21701
10598580;AUTOMOVIL;1.0;21701
10598583;AUTOMOVIL;1.0;21701
10598591;AUTOMOVIL;1.0;21701
10598592;AUTOMOVIL;1.0;21701
10599600;AUTOMOVIL;1.0;21701
10599602;AUTOMOVIL;1.0;21701
10599608;AUTOMOVIL;1.0;21701
10599611;AUTOMOVIL;1.0;21701
10599612;AUTOMOVIL;1.0;21701
10599614;AUTOMOVIL;1.0;21701
10599615;AUTOMOVIL;1.0;21701
10599803;AUTOMOVIL;1.0;21701
10599804;AUTOMOVIL;1.0;21701
10599812;AUTOMOVIL;1.0;21701
10599815;AUTOMOVIL;1.0;21701
10599993;AUTOMOVIL;1.0;21701
10600011;AUTOMOVIL;1.0;21701
10600013;AUTOMOVIL;1.0;21701
10600017;AUTOMOVIL;1.0;21701
10600019;AUTOMOVIL;1.0;21701
10600022;AUTOMOVIL;1.0;21701
10600232;AUTOMOVIL;1.0;21701
10600740;AUTOMOVIL;1.0;21701
10600781;AUTOMOVIL;1.0;21701
10600793;AUTOMOVIL;1.0;21701
10600794;AUTOMOVIL;1.0;21701
10600833;AUTOMOVIL;1.0;21701
10600899;AUTOMOVIL;1.0;21701
10600917;AUTOMOVIL;1.0;21701
10600946;AUTOMOVIL;1.0;21701
10601747;AUTOMOVIL;1.0;21701
10601817;AUTOMOVIL;1.0;21701
10601856;AUTOMOVIL;1.0;21701
10601861;AUTOMOVIL;1.0;21701
10601862;AUTOMOVIL;1.0;21701
10601888;AUTOMOVIL;1.0;21701
10602272;AUTOMOVIL;1.0;21701
10602299;AUTOMOVIL;1.0;21701
10603500;AUTOMOVIL;1.0;21701
10608153;AUTOMOVIL;1.0;21701
10608174;AUTOMOVIL;1.0;21701
10608212;AUTOMOVIL;1.0;21701
10608237;AUTOMOVIL;1.0;21701
10608254;AUTOMOVIL;1.0;21701
10608258;AUTOMOVIL;1.0;21701
10608260;AUTOMOVIL;1.0;21701
10608264;AUTOMOVIL;1.0;21701
9186548;CAMIONETA;1.4;21701
9322197;CAMIONETA;1.4;21701
9443712;CAMIONETA;1.4;21701
9568743;CAMIONETA;1.4;21701
9723614;CAMIONETA;1.4;21701
9816723;CAMIONETA;1.4;21701
